Date,         SSRN
1922-08-01,  383.000
1922-09-01,  462.000
1922-10-01,  217.000
1922-11-01,   48.000
1922-12-01,    5.000
1923-01-01,    6.000
1923-02-01,   -7.000
1923-03-01,    6.000
1923-04-01,   94.000
1923-05-01,  -24.000
1923-06-01,  -59.000
1923-07-01,  210.000
1923-08-01,  210.000
1923-09-01,   72.000
1923-10-01,   80.000
1923-11-01,   55.000
1923-12-01,    5.000
1924-01-01,   23.000
1924-02-01,   25.000
1924-03-01,   -1.000
1924-04-01,    3.000
1924-05-01,  -46.000
1924-06-01,  221.000
1924-07-01,  383.000
1924-08-01,  293.000
1924-09-01,  417.000
1924-10-01,  -34.000
1924-11-01,   30.000
1924-12-01,   -2.000
1925-01-01,    2.000
1925-02-01,   -8.000
1925-03-01,   14.000
1925-04-01,   -9.000
1925-05-01,   34.000
1925-06-01,   50.000
1925-07-01,   51.000
1925-08-01,  274.000
1925-09-01,  184.000
1925-10-01,  243.000
1925-11-01,   17.000
1925-12-01,   -4.000
1926-01-01,   -5.000
1926-02-01,   -8.000
1926-03-01,   -4.000
1926-04-01,  -16.000
1926-05-01,   30.000
1926-06-01,  268.000
1926-07-01,   70.000
1926-08-01, -184.000
1926-09-01,  -97.000
1926-10-01, -116.000
1926-11-01,   26.000
1926-12-01,   -2.000
1927-01-01,   -4.000
1927-02-01,   -3.000
1927-03-01,  -21.000
1927-04-01,   55.000
1927-05-01,  148.000
1927-06-01,  207.000
1927-07-01,   10.000
1927-08-01,  770.000
1927-09-01,  316.000
1927-10-01,  300.000
1927-11-01,   49.000
1927-12-01,    5.000
1928-01-01,    0.000
1928-02-01,   -8.000
1928-03-01,    7.000
1928-04-01,   49.000
1928-05-01,   19.000
1928-06-01,   -7.000
1928-07-01,   46.000
1928-08-01,  931.000
1928-09-01,   51.000
1928-10-01,  236.000
1928-11-01,   -4.000
1928-12-01,   -2.000
1929-01-01,   -5.000
1929-02-01,   -4.000
1929-03-01,   12.000
1929-04-01,   -7.000
1929-05-01,  129.000
1929-06-01,  321.000
1929-07-01,   91.000
1929-08-01,  537.000
1929-09-01,  150.000
1929-10-01,   77.000
1929-11-01,  -11.000
1929-12-01,    1.000
1930-01-01,    5.000
1930-02-01,    1.000
1930-03-01,    9.000
1930-04-01,   23.000
1930-05-01,  246.000
1930-06-01,  131.000
1930-07-01,  270.000
1930-08-01,  371.000
1930-09-01,  152.000
1930-10-01,  106.000
1930-11-01,  -12.000
1930-12-01,    3.000
1931-01-01,   -5.000
1931-02-01,   25.000
1931-03-01,   -3.000
1931-04-01,   39.000
1931-05-01,  117.000
1931-06-01,  107.000
1931-07-01,  311.000
1931-08-01, -387.000
1931-09-01,  447.000
1931-10-01,  -67.000
1931-11-01,   51.000
1931-12-01,    3.000
1932-01-01,   13.000
1932-02-01,   20.000
1932-03-01,   22.000
1932-04-01,   -7.000
1932-05-01,  148.000
1932-06-01,   26.000
1932-07-01,  146.000
1932-08-01,  480.000
1932-09-01,  196.000
1932-10-01,   41.000
1932-11-01,   11.000
1932-12-01,   -3.000
1933-01-01,   11.000
1933-02-01,    9.000
1933-03-01,    4.000
1933-04-01,   33.000
1933-05-01,  201.000
1933-06-01,  463.000
1933-07-01,  346.000
1933-08-01,  396.000
1933-09-01,   78.000
1933-10-01,  -58.000
1933-11-01,  118.000
1933-12-01,   14.000
1934-01-01,   -5.000
1934-02-01,   -8.000
1934-03-01,   18.000
1934-04-01,    1.000
1934-05-01, -121.000
1934-06-01,  104.000
