date;Country;Moughataa/Department;Commune/Municipality;arvi;arvi_category;evi;evi_category;ndvi;ndvi_category;sipi;sipi_category;spi_1;spi_1_category;spi_3;spi_3_category;spi_6;spi_6_category;spi_9;spi_9_category;spi_12;spi_12_category
01/02/2021;Senegal;Kaolack;Sibassor;-0,2;3.Normal conditions;-0,48;3.Normal conditions;0,26;3.Normal conditions;0,27;3.Normal conditions;0,53;Wet;0,95;Wet;1,55;Extremely wet;1,13;Moderately wet;1,13;Moderately wet
01/02/2021;Senegal;Tivaouane;Pambal;-0,34;3.Normal conditions;-0,47;3.Normal conditions;0,05;3.Normal conditions;0,22;3.Normal conditions;0,62;Wet;0,44;Wet;1,8;Extremely wet;1,1;Moderately wet;1,1;Moderately wet
01/02/2021;Senegal;Gossas;Colobane;-0,39;3.Normal conditions;-0,47;3.Normal conditions;-0,07;3.Normal conditions;0,24;3.Normal conditions;0,83;Wet;0,59;Wet;2,28;Extremely wet;1,91;Extremely wet;1,91;Extremely wet
01/02/2021;Mauritania;M'Bout;Mbout;-0,32;3.Normal conditions;-0,47;3.Normal conditions;0,02;3.Normal conditions;0,21;3.Normal conditions;-0,15;Dry;-0,33;Dry;2,09;Extremely wet;1,55;Extremely wet;1,54;Extremely wet
01/02/2021;Senegal;Bambey;Lambaye;-0,56;3.Normal conditions;-0,46;3.Normal conditions;-0,34;3.Normal conditions;0,15;3.Normal conditions;2,04;Extremely wet;1,43;Moderately wet;1,86;Extremely wet;1,15;Moderately wet;1,15;Moderately wet
01/02/2021;Senegal;Louga;Sakal;0,26;3.Normal conditions;-0,46;3.Normal conditions;0,92;3.Normal conditions;0,15;3.Normal conditions;0,19;Wet;0,76;Wet;1,47;Moderately wet;1,25;Moderately wet;1,25;Moderately wet
01/02/2021;Mauritania;Maghama;Vrae Litam;-0,22;3.Normal conditions;-0,45;3.Normal conditions;0,24;3.Normal conditions;0,26;3.Normal conditions;-0,15;Dry;-0,28;Dry;1,86;Extremely wet;1,27;Moderately wet;1,27;Moderately wet
01/02/2021;Mauritania;Méderdra;Tiguent;0,18;3.Normal conditions;-0,45;3.Normal conditions;0,9;3.Normal conditions;0,15;3.Normal conditions;-0,02;Dry;0,75;Wet;0,63;Wet;0,75;Wet;0,75;Wet
01/02/2021;Mauritania;Kobenni;Gogui Zemmal;0,13;3.Normal conditions;-0,45;3.Normal conditions;0,99;3.Normal conditions;0,15;3.Normal conditions;1,8;Extremely wet;1,08;Moderately wet;2,32;Extremely wet;2,49;Extremely wet;2,5;Extremely wet
01/02/2021;Mauritania;Sélibaby;Ghabou;-0,23;3.Normal conditions;-0,45;3.Normal conditions;0,33;3.Normal conditions;0,15;3.Normal conditions;0,78;Wet;0,52;Wet;1,21;Moderately wet;0,73;Wet;0,72;Wet
01/02/2021;Mauritania;Monguel;Bokhol;-0,81;3.Normal conditions;-0,45;3.Normal conditions;-0,41;3.Normal conditions;0,15;3.Normal conditions;-0,75;Dry;-0,81;Dry;1,54;Extremely wet;0,73;Wet;0,73;Wet
01/02/2021;Mauritania;Kobenni;Hassi Ehel Ahmed Bechne;0;3.Normal conditions;-0,45;3.Normal conditions;0,72;3.Normal conditions;0,15;3.Normal conditions;1,42;Moderately wet;1,1;Moderately wet;2,74;Extremely wet;2,47;Extremely wet;2,48;Extremely wet
01/02/2021;Senegal;Linguére;Sagatta Djoloff;0,29;3.Normal conditions;-0,45;3.Normal conditions;0,86;3.Normal conditions;0,22;3.Normal conditions;0,61;Wet;0,97;Wet;1,69;Extremely wet;1,06;Moderately wet;1,06;Moderately wet
01/02/2021;Senegal;Kaolack;Koumbal;-0,51;3.Normal conditions;-0,45;3.Normal conditions;-0,28;3.Normal conditions;0,47;3.Normal conditions;0,47;Wet;-0,04;Dry;1,73;Extremely wet;1,33;Moderately wet;1,32;Moderately wet
01/02/2021;Mauritania;Akjoujt;Akjoujt 2;-0,24;3.Normal conditions;-0,45;3.Normal conditions;-0,01;3.Normal conditions;0,15;3.Normal conditions;-0,26;Dry;-0,38;Dry;1,25;Moderately wet;0,32;Wet;0,33;Wet
01/02/2021;Senegal;Fatick;Niakhar;-0,6;3.Normal conditions;-0,44;3.Normal conditions;-0,41;3.Normal conditions;0,32;3.Normal conditions;0,79;Wet;1,07;Moderately wet;1,74;Extremely wet;1,04;Moderately wet;1,04;Moderately wet
01/02/2021;Mauritania;Néma;Hassi Atile;0,41;3.Normal conditions;-0,44;3.Normal conditions;1,1;2.Good condition;0,22;3.Normal conditions;0,61;Wet;0,62;Wet;-0,03;Dry;0,18;Wet;0,17;Wet
01/02/2021;Mauritania;Nouakchott;Arafat;-0,73;3.Normal conditions;-0,44;3.Normal conditions;-0,49;3.Normal conditions;;;1,58;Extremely wet;1,4;Moderately wet;-0,23;Dry;-0,19;Dry;-0,19;Dry
01/02/2021;Senegal;Nioro du Rip;Médina Sabakh;-0,74;3.Normal conditions;-0,44;3.Normal conditions;-0,58;3.Normal conditions;0,58;3.Normal conditions;0,71;Wet;0,21;Wet;1,86;Extremely wet;1,18;Moderately wet;1,17;Moderately wet
01/02/2021;Mauritania;Magta-Lahar;Maghta Lahjar 2;-0,45;3.Normal conditions;-0,44;3.Normal conditions;-0,18;3.Normal conditions;0,2;3.Normal conditions;0,32;Wet;0,04;Wet;1,02;Moderately wet;0,17;Wet;0,17;Wet
01/02/2021;Senegal;Pikine;Thiaroye;-0,77;3.Normal conditions;-0,44;3.Normal conditions;-1,04;4.Degraded;0,15;3.Normal conditions;0,58;Wet;0,45;Wet;1,06;Moderately wet;0,81;Wet;0,81;Wet
01/02/2021;Mauritania;Kobenni;Medbougou;-0,01;3.Normal conditions;-0,44;3.Normal conditions;0,58;3.Normal conditions;0,15;3.Normal conditions;1,67;Extremely wet;1,11;Moderately wet;2,75;Extremely wet;2,49;Extremely wet;2,51;Extremely wet
01/02/2021;Senegal;Foundiougne;Djilor;-0,25;3.Normal conditions;-0,44;3.Normal conditions;0,16;3.Normal conditions;0,39;3.Normal conditions;0,51;Wet;1,2;Moderately wet;1,43;Moderately wet;1,16;Moderately wet;1,16;Moderately wet
01/02/2021;Mauritania;Tidjikja;Tidjikja;-0,69;3.Normal conditions;-0,43;3.Normal conditions;-0,41;3.Normal conditions;;;1,09;Moderately wet;0,26;Wet;1,45;Moderately wet;-0,23;Dry;-0,24;Dry
01/02/2021;Mauritania;Maghama;Dao;-0,41;3.Normal conditions;-0,43;3.Normal conditions;-0,03;3.Normal conditions;0,15;3.Normal conditions;-0,18;Dry;-0,38;Dry;1,84;Extremely wet;1,43;Moderately wet;1,43;Moderately wet
01/02/2021;Mauritania;Atar;Choum;-0,24;3.Normal conditions;-0,43;3.Normal conditions;0,03;3.Normal conditions;-0,15;3.Normal conditions;-0,54;Dry;-0,38;Dry;1;Moderately wet;0,34;Wet;0,36;Wet
01/02/2021;Mauritania;Zouérate;Zoueirat;-0,72;3.Normal conditions;-0,42;3.Normal conditions;-0,64;3.Normal conditions;-0,15;3.Normal conditions;-0,45;Dry;-0,51;Dry;-0,12;Dry;-0,32;Dry;-0,31;Dry
01/02/2021;Mauritania;Néma;Oum Avnadech;0,73;3.Normal conditions;-0,42;3.Normal conditions;1,43;2.Good condition;0,22;3.Normal conditions;0,59;Wet;0,75;Wet;-0,75;Dry;0,14;Wet;0,11;Wet
01/02/2021;Mauritania;Bir Moghrein;Bir Mogrein 2;-0,05;3.Normal conditions;-0,42;3.Normal conditions;0,23;3.Normal conditions;0,11;3.Normal conditions;-0,63;Dry;-0,94;Dry;-0,87;Dry;-0,97;Dry;-0,93;Dry
01/02/2021;Mauritania;M'Bagne;Niabina;-0,94;3.Normal conditions;-0,42;3.Normal conditions;-0,73;3.Normal conditions;0,18;3.Normal conditions;-0,6;Dry;-0,39;Dry;2,02;Extremely wet;0,47;Wet;0,47;Wet
01/02/2021;Senegal;Podor;Gamadji Saré;0,15;3.Normal conditions;-0,41;3.Normal conditions;0,51;3.Normal conditions;0,15;3.Normal conditions;-0,71;Dry;-0,22;Dry;2,07;Extremely wet;1,05;Moderately wet;1,05;Moderately wet
01/02/2021;Mauritania;Djiguenni;Mabrouk;0,42;3.Normal conditions;-0,4;3.Normal conditions;1,16;2.Good condition;0,15;3.Normal conditions;3,38;Extremely wet;2,9;Extremely wet;0,66;Wet;1,59;Extremely wet;1,6;Extremely wet
01/02/2021;Mauritania;Djiguenni;Djigueni;-0,07;3.Normal conditions;-0,4;3.Normal conditions;0,55;3.Normal conditions;0,15;3.Normal conditions;3,25;Extremely wet;1,17;Moderately wet;0,83;Wet;1,72;Extremely wet;1,73;Extremely wet
01/02/2021;Mauritania;Aleg;Cheggar;-0,26;3.Normal conditions;-0,4;3.Normal conditions;-0,14;3.Normal conditions;0,15;3.Normal conditions;-0,16;Dry;-0,13;Dry;0,96;Wet;0,26;Wet;0,26;Wet
01/02/2021;Senegal;Linguére;Barkédji;0,12;3.Normal conditions;-0,4;3.Normal conditions;0,62;3.Normal conditions;0,27;3.Normal conditions;0,09;Wet;0,35;Wet;1,9;Extremely wet;1,49;Moderately wet;1,49;Moderately wet
01/02/2021;Mauritania;Tidjikja;Tidjikja 2;-0,08;3.Normal conditions;-0,39;3.Normal conditions;0,26;3.Normal conditions;0,18;3.Normal conditions;0,34;Wet;-0,12;Dry;1,14;Moderately wet;-0,43;Dry;-0,43;Dry
01/02/2021;Senegal;M'bour;Sindia;-0,56;3.Normal conditions;-0,38;3.Normal conditions;-0,5;3.Normal conditions;0,32;3.Normal conditions;1,1;Moderately wet;0,95;Wet;1,35;Moderately wet;0,99;Wet;0,99;Wet
01/02/2021;Senegal;Guinguinéo;Mbadakhoune;-0,44;3.Normal conditions;-0,38;3.Normal conditions;-0,26;3.Normal conditions;0,42;3.Normal conditions;0,42;Wet;0,43;Wet;1,96;Extremely wet;1,5;Extremely wet;1,5;Extremely wet
01/02/2021;Senegal;Mbacké;Kael;-0,27;3.Normal conditions;-0,38;3.Normal conditions;-0,05;3.Normal conditions;0,21;3.Normal conditions;0,84;Wet;0,69;Wet;2,18;Extremely wet;1,82;Extremely wet;1,82;Extremely wet
01/02/2021;Senegal;Malem Hodar;Darou Minam 2;-0,1;3.Normal conditions;-0,38;3.Normal conditions;0,26;3.Normal conditions;0,38;3.Normal conditions;0,15;Wet;-0,31;Dry;2,21;Extremely wet;1,76;Extremely wet;1,75;Extremely wet
01/02/2021;Mauritania;Nouakchott;El Mina;-0,38;3.Normal conditions;-0,37;3.Normal conditions;0,07;3.Normal conditions;-0,15;3.Normal conditions;1,11;Moderately wet;1,21;Moderately wet;-0,25;Dry;-0,13;Dry;-0,13;Dry
01/02/2021;Senegal;Kebémer;Darou Mousty;0,24;3.Normal conditions;-0,37;3.Normal conditions;0,74;3.Normal conditions;0,21;3.Normal conditions;1,13;Moderately wet;1;Wet;1,66;Extremely wet;1,24;Moderately wet;1,24;Moderately wet
01/02/2021;Senegal;Guinguinéo;Nguélou;-0,46;3.Normal conditions;-0,37;3.Normal conditions;-0,21;3.Normal conditions;0,26;3.Normal conditions;0,56;Wet;0,31;Wet;2,18;Extremely wet;1,73;Extremely wet;1,73;Extremely wet
01/02/2021;Mauritania;Aioun;Egjert;-0,15;3.Normal conditions;-0,37;3.Normal conditions;0,31;3.Normal conditions;0,21;3.Normal conditions;0,45;Wet;0,46;Wet;1,72;Extremely wet;1,56;Extremely wet;1,57;Extremely wet
01/02/2021;Mauritania;Ould Yengé;Lehraj;-0,14;3.Normal conditions;-0,36;3.Normal conditions;0,3;3.Normal conditions;0,2;3.Normal conditions;-0,12;Dry;0;Dry;1,82;Extremely wet;1,37;Moderately wet;1,36;Moderately wet
01/02/2021;Mauritania;M'Bout;Chelkhet Tiyab;-0,95;3.Normal conditions;-0,36;3.Normal conditions;-0,67;3.Normal conditions;0,25;3.Normal conditions;-0,58;Dry;-0,7;Dry;2,08;Extremely wet;1,24;Moderately wet;1,24;Moderately wet
01/02/2021;Mauritania;Ould Yengé;Lebouly;-0,3;3.Normal conditions;-0,35;3.Normal conditions;0,2;3.Normal conditions;0,15;3.Normal conditions;-0,09;Dry;-0,04;Dry;1,64;Extremely wet;1,38;Moderately wet;1,38;Moderately wet
