DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Oct2011,-1.65923,-2.63458,-2.15169,-2.21474,-2.31344,-2.25277,-2.21629,-2.03238,-1.91429,-1.88354,-1.88693,-1.86093,-1.85124,-1.86913,-1.7572,-1.65162,-1.58469,-1.6573,-1.70346,-1.73701,-1.77882,-1.7835,-1.76312,-1.73097,-1.74619,-1.62997,-1.46871,-1.45953,-1.41706,-1.40937,-1.40464,-1.35798,-1.32919,-1.29201,-1.28105,-1.28497,-1.26901,-1.23293,-1.20526,-1.16568,-1.12375,-1.14801,-1.16924,-1.20199,-1.20983,-1.19441,-1.17999,-1.1392
Nov2011,-0.9426,-1.65672,-2.50708,-2.0864,-2.15581,-2.2392,-2.18407,-2.15222,-1.98716,-1.88131,-1.85337,-1.8563,-1.83241,-1.82072,-1.84091,-1.7436,-1.64378,-1.57927,-1.64762,-1.6907,-1.72394,-1.76403,-1.76895,-1.74857,-1.71811,-1.73265,-1.62082,-1.467,-1.45821,-1.41697,-1.40962,-1.40522,-1.35972,-1.33181,-1.29566,-1.2847,-1.28859,-1.27294,-1.2378,-1.21076,-1.17179,-1.13071,-1.15413,-1.17467,-1.20655,-1.21414,-1.19894,-1.18453
Dec2011,-0.39254,-0.72182,-1.38578,-2.24077,-1.95004,-2.06249,-2.14716,-2.08772,-2.05514,-1.9066,-1.81001,-1.78622,-1.79303,-1.77269,-1.76037,-1.78403,-1.70191,-1.60838,-1.54552,-1.61209,-1.655,-1.68866,-1.72819,-1.73422,-1.71459,-1.68606,-1.70014,-1.59338,-1.44436,-1.43627,-1.3961,-1.38914,-1.38515,-1.34112,-1.31401,-1.27876,-1.26803,-1.27227,-1.25693,-1.22246,-1.19513,-1.15677,-1.11659,-1.13991,-1.16043,-1.19246,-1.2,-1.18531
Jan2012,-0.6895,-0.57755,-0.77573,-1.36335,-2.07552,-1.88031,-2.0014,-2.09613,-2.06036,-2.03564,-1.9035,-1.81374,-1.78916,-1.79329,-1.7767,-1.77509,-1.78987,-1.72882,-1.63927,-1.57981,-1.64368,-1.68723,-1.71795,-1.75331,-1.75894,-1.73677,-1.70919,-1.72884,-1.63473,-1.49896,-1.49871,-1.46226,-1.4535,-1.44871,-1.40028,-1.37031,-1.33452,-1.32419,-1.32791,-1.31279,-1.28062,-1.25666,-1.2157,-1.1727,-1.19776,-1.21961,-1.25314,-1.2623
Feb2012,0.01183,-0.32225,-0.34485,-0.60918,-1.16303,-1.84761,-1.79434,-1.93096,-2.03157,-1.99778,-1.98448,-1.8606,-1.77339,-1.75031,-1.75743,-1.74132,-1.73829,-1.75589,-1.70193,-1.61352,-1.55272,-1.61634,-1.65929,-1.69119,-1.72735,-1.73335,-1.71194,-1.68529,-1.70333,-1.61072,-1.47598,-1.47623,-1.43956,-1.43094,-1.42672,-1.3796,-1.35016,-1.31509,-1.30513,-1.30963,-1.29478,-1.26294,-1.2392,-1.19847,-1.1566,-1.18178,-1.20381,-1.23769
Mar2012,-0.90477,-0.62821,-0.67553,-0.61938,-0.75312,-1.12677,-1.64604,-1.70966,-1.84392,-1.93131,-1.89879,-1.88644,-1.78725,-1.71582,-1.69812,-1.70408,-1.689,-1.68576,-1.70944,-1.66822,-1.58747,-1.52989,-1.58761,-1.62554,-1.65665,-1.69243,-1.69975,-1.68005,-1.65501,-1.66984,-1.58437,-1.4542,-1.45485,-1.41993,-1.41125,-1.40697,-1.36266,-1.33461,-1.30097,-1.29131,-1.2961,-1.28216,-1.25146,-1.22763,-1.18797,-1.1482,-1.17283,-1.19453
Apr2012,-1.07941,-1.01139,-0.83472,-0.84862,-0.78264,-0.87233,-1.16024,-1.57955,-1.67996,-1.80754,-1.88934,-1.85898,-1.84921,-1.76392,-1.69918,-1.68366,-1.68943,-1.67637,-1.67161,-1.70017,-1.66532,-1.58764,-1.5334,-1.58559,-1.62019,-1.65008,-1.68407,-1.69126,-1.67273,-1.64876,-1.66156,-1.57774,-1.45191,-1.45064,-1.41737,-1.40851,-1.40468,-1.36189,-1.33481,-1.30211,-1.29267,-1.2972,-1.28402,-1.25442,-1.23061,-1.19209,-1.15347,-1.17708
May2012,-0.15911,-0.68888,-0.79616,-0.69692,-0.72318,-0.67977,-0.76322,-1.03798,-1.41073,-1.55254,-1.69534,-1.775,-1.75089,-1.74812,-1.6793,-1.62273,-1.61207,-1.62147,-1.61226,-1.6084,-1.63701,-1.6115,-1.54119,-1.48812,-1.53862,-1.57449,-1.6061,-1.64066,-1.64829,-1.63039,-1.60843,-1.61898,-1.53824,-1.41499,-1.41497,-1.38315,-1.37464,-1.37184,-1.332,-1.30641,-1.27507,-1.26628,-1.27135,-1.25859,-1.23006,-1.20628,-1.16909,-1.13208
Jun2012,-0.95753,-0.79824,-0.95809,-0.96934,-0.8888,-0.90553,-0.85236,-0.90808,-1.11704,-1.44003,-1.55836,-1.68442,-1.76553,-1.74117,-1.73794,-1.67531,-1.62243,-1.61436,-1.62378,-1.61496,-1.60959,-1.63922,-1.61774,-1.55275,-1.50363,-1.55149,-1.58422,-1.61305,-1.646,-1.6532,-1.63682,-1.61563,-1.62582,-1.5457,-1.4284,-1.42972,-1.39776,-1.38853,-1.38564,-1.34646,-1.32106,-1.29031,-1.28126,-1.28623,-1.27409,-1.24644,-1.22417,-1.18752
Jul2012,-1.10106,-1.25751,-1.10811,-1.16771,-1.12865,-1.0384,-1.04263,-0.98866,-1.02095,-1.19586,-1.47672,-1.56851,-1.68812,-1.7613,-1.73682,-1.72898,-1.66928,-1.62085,-1.61285,-1.62219,-1.61476,-1.60898,-1.63224,-1.61773,-1.56113,-1.5154,-1.56059,-1.59139,-1.62,-1.65188,-1.65923,-1.64439,-1.62406,-1.63545,-1.56055,-1.45219,-1.45506,-1.42368,-1.41347,-1.40892,-1.36874,-1.34335,-1.31331,-1.30472,-1.30926,-1.29705,-1.27035,-1.2492
